code,name,latitude,longitude,Z,FindNearestRank,DistanceKilometers,Direction
6252,Mozart / St-Laurent,45.53318,-73.61544,58,1,6.37653146575057e-003,S
6913,Drolet / Beaubien,45.533348,-73.605834,61,1,1.63078137608192e-003,S
6908,de Bellechasse / de St-Vallier,45.53334868400571,-73.60113568603992,63,1,7.51542701503109e-003,E
7030,de Bordeaux / Marie-Anne,45.53340912723174,-73.57065707445145,46,1,8.78552562445642e-003,S
6750,des Érables / Rachel,45.5334955551535,-73.56693148612976,44,1,6.75257626152491e-003,NE
6120,Ontario / du Havre,45.5336609,-73.5521968,20,1,1.23527199511694e-002,NW
5002,St-Charles / Montarville,45.533703286938504,-73.51528286933899,12,1,7.78581424476964e-003,NE
6131,Fullum / Sherbrooke,45.533924,-73.562425,41,1,6.97476573366039e-003,NW
6166,de Brébeuf / St-Grégoire,45.5341,-73.58852,59,1,7.59845618052627e-003,N
6907,Boyer / Rosemont,45.534136,-73.595478,62,1,5.86618192470858e-003,NE
6152,Chabot / du Mont-Royal,45.53418509490266,-73.57358872890472,48,1,4.19721992694676e-003,SE
6251,de Gaspé / Dante,45.534357948228354,-73.61223131418228,58,1,5.06602812858129e-003,W
7078,Hochelaga / Chapleau,45.53445294687473,-73.55965197086334,30,1,1.01778531495804e-002,SE
6269,Bercy / Ontario,45.53455710466228,-73.5507497191429,21,1,7.13194051084894e-003,NW
7045,Casgrain / Mozart,45.53472725603326,-73.6147928237915,57,1,7.1587341887341e-003,N
6311,Drolet / St-Zotique,45.53488214147823,-73.60941231250763,59,1,1.04659079021776e-002,S
6121,Gascon / de Rouen,45.53513390280753,-73.55486422777176,20,1,1.00163642131877e-002,NE
6344,St-Dominique / Jean-Talon,45.535189,-73.617459,57,1,3.8474870214242e-003,NW
6128,Hogan / Ontario,45.535295480380306,-73.55116009712219,21,1,1.19489610211334e-002,SW
6163,Marquette / Laurier,45.53543,-73.5822,51,1,7.28804823409256e-003,W
6912,de Chateaubriand / Beaubien,45.53550590629069,-73.60388159751892,61,1,1.15775510450641e-002,SW
6133,Terrasse Mercure / Fullum,45.535690028316374,-73.56592297554016,44,1,1.00459989989218e-002,SE
6161,Cartier / St-Joseph,45.53576,-73.57867,50,1,1.02567878531859e-002,NW
6385,de Bordeaux /Gilford,45.53611005443118,-73.5762870311737,50,1,8.12848164663658e-003,S
6321,Gary Carter / St-Laurent,45.536152810858084,-73.62242102622986,56,1,1.24279617578242e-002,NW
6257,de St-Vallier / St-Zotique,45.536261178519666,-73.60754549503326,59,1,3.75309465012802e-003,E
